#R(AU),SIGMA(CGS),SOUND_SPEED(CGS)
#DISKMASS:   2.60571104E-02
 4.99999989E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.49999997E-02  3.73294469E+06  1.08421240E+04  2.10216307E-02
 2.49999994E-02  1.52691986E+06  9.54228056E+03  4.54067223E-03
 3.49999992E-02  8.47407261E+05  8.77243527E+03  1.65476393E-03
 4.49999990E-02  5.45870167E+05  8.23823270E+03  7.78578915E-04
 5.49999988E-02  3.84216978E+05  7.83513549E+03  4.26434282E-04
 6.49999985E-02  2.86822281E+05  7.51465150E+03  2.58345029E-04
 7.49999983E-02  2.23282172E+05  7.25056529E+03  1.68173046E-04
 8.49999981E-02  1.79361050E+05  7.02720223E+03  1.15526975E-04
 9.49999979E-02  1.47636911E+05  6.83449267E+03  8.27502594E-05
 1.04999998E-01  1.23916742E+05  6.66560937E+03  6.12875531E-05
 1.14999997E-01  1.05679327E+05  6.51572466E+03  4.66494640E-05
 1.24999997E-01  9.13311100E+04  6.38130761E+03  3.63253779E-05
 1.34999997E-01  7.98228379E+04  6.25970319E+03  2.88362561E-05
 1.44999997E-01  7.04396606E+04  6.14886818E+03  2.32721321E-05
 1.54999997E-01  6.26802597E+04  6.04719898E+03  1.90521979E-05
 1.64999996E-01  5.61842200E+04  5.95341555E+03  1.57938623E-05
 1.74999996E-01  5.06867766E+04  5.86648104E+03  1.32381115E-05
 1.84999996E-01  4.59897167E+04  5.78554468E+03  1.12053389E-05
 1.94999996E-01  4.19421500E+04  5.70990037E+03  9.56833441E-06
 2.04999995E-01  3.84274886E+04  5.63895616E+03  8.23528430E-06
 2.14999995E-01  3.53544393E+04  5.57221120E+03  7.13879318E-06
 2.24999995E-01  3.26506515E+04  5.50923825E+03  6.22863132E-06
 2.34999995E-01  3.02581589E+04  5.44967017E+03  5.46684289E-06
 2.44999995E-01  2.81300569E+04  5.39318928E+03  4.82438464E-06
 2.54999994E-01  2.62280464E+04  5.33951903E+03  4.27877686E-06
 2.64999994E-01  2.45205936E+04  5.28841727E+03  3.81243596E-06
 2.74999994E-01  2.29815356E+04  5.23967090E+03  3.41147425E-06
 2.84999994E-01  2.15890113E+04  5.19309143E+03  3.06482442E-06
 2.94999993E-01  2.03246339E+04  5.14851141E+03  2.76359330E-06
 3.04999993E-01  1.91728441E+04  5.10578148E+03  2.50057947E-06
 3.14999993E-01  1.81204004E+04  5.06476787E+03  2.26990937E-06
 3.24999993E-01  1.71559739E+04  5.02535033E+03  2.06676023E-06
 3.34999993E-01  1.62698237E+04  4.98742045E+03  1.88714712E-06
 3.44999992E-01  1.54535351E+04  4.95088011E+03  1.72775793E-06
 3.54999992E-01  1.46998073E+04  4.91564029E+03  1.58582449E-06
 3.64999992E-01  1.40022796E+04  4.88161998E+03  1.45902115E-06
 3.74999992E-01  1.33553889E+04  4.84874524E+03  1.34538436E-06
 3.84999991E-01  1.27542517E+04  4.81694848E+03  1.24324863E-06
 3.94999991E-01  1.21945658E+04  4.78616768E+03  1.15119499E-06
 4.04999991E-01  1.16725292E+04  4.75634587E+03  1.06800949E-06
 4.14999991E-01  1.11847708E+04  4.72743057E+03  9.92649411E-07
 4.24999991E-01  1.07282931E+04  4.69937337E+03  9.24215801E-07
 4.34999990E-01  1.03004230E+04  4.67212947E+03  8.61930817E-07
